0,46,86,69,7,70,8,81,53,67,78,44,99,21,1,33,44,48,47,58
46,0,15,32,41,84,19,96,60,45,53,6,90,19,31,64,90,11,66,64
86,15,0,50,42,51,12,6,69,96,88,36,95,43,90,1,95,32,69,7
69,32,50,0,87,44,70,8,5,77,90,51,91,67,15,52,5,92,93,82
7,41,42,87,0,9,65,99,98,19,92,44,80,11,55,90,89,17,23,89
70,84,51,44,9,0,40,25,42,54,14,56,23,8,31,19,91,5,78,74
8,19,12,70,65,40,0,79,49,66,11,45,75,83,94,81,69,24,86,61
81,96,6,8,99,25,79,0,73,17,32,62,81,16,66,40,27,76,60,12
53,60,69,5,98,42,49,73,0,2,37,66,56,94,23,10,24,52,66,9
67,45,96,77,19,54,66,17,2,0,18,54,35,61,68,67,72,68,15,42
78,53,88,90,92,14,11,32,37,18,0,30,94,55,20,73,45,51,37,88
44,6,36,51,44,56,45,62,66,54,30,0,9,33,15,83,15,89,95,56
99,90,95,91,80,23,75,81,56,35,94,9,0,82,77,80,48,84,10,65
21,19,43,67,11,8,83,16,94,61,55,33,82,0,28,98,61,44,49,88
1,31,90,15,55,31,94,66,23,68,20,15,77,28,0,40,65,78,99,38
33,64,1,52,90,19,81,40,10,67,73,83,80,98,40,0,25,16,29,54
44,90,95,5,89,91,69,27,24,72,45,15,48,61,65,25,0,78,6,15
48,11,32,92,17,5,24,76,52,68,51,89,84,44,78,16,78,0,7,77
47,66,69,93,23,78,86,60,66,15,37,95,10,49,99,29,6,7,0,73
58,64,7,82,89,74,61,12,9,42,88,56,65,88,38,54,15,77,73,0
